id,value
대한민국,
대한민국.강원도,
대한민국.경상북도.상주시.남자(내),45672
대한민국.경상북도.상주시.여자(내),46710
대한민국.경상북도.상주시.남자(외),557
대한민국.경상북도.상주시.여자(외),783
대한민국.경상북도.북구,
대한민국.경상북도.북구.남자(내),133090
대한민국.경상북도.북구.여자(내),135419
대한민국.경상북도.북구.남자(외),1993
대한민국.경상북도.북구.여자(외),1880
대한민국.경상북도.봉화군,
대한민국.경상북도.봉화군.남자(내),14327
대한민국.경상북도.봉화군.여자(내),14374
대한민국.경상북도.봉화군.남자(외),152
대한민국.경상북도.봉화군.여자(외),315
대한민국.경상북도.문경시,
대한민국.경상북도.문경시.남자(내),32743
대한민국.경상북도.문경시.여자(내),33990
대한민국.경상북도.문경시.남자(외),432
대한민국.경상북도.문경시.여자(외),504
대한민국.경상북도.남구,
대한민국.경상북도.남구.남자(내),116756
대한민국.경상북도.남구.여자(내),107945
대한민국.경상북도.남구.남자(외),2643
대한민국.경상북도.남구.여자(외),1525
대한민국.경상북도.김천시,
대한민국.경상북도.김천시.남자(내),67328
대한민국.경상북도.김천시.여자(내),67434
대한민국.경상북도.김천시.남자(외),1830
대한민국.경상북도.김천시.여자(외),1370
대한민국.경상북도.군위군,
대한민국.경상북도.군위군.남자(내),10493
대한민국.경상북도.군위군.여자(내),10197
대한민국.경상북도.군위군.남자(외),436
대한민국.경상북도.군위군.여자(외),159
대한민국.경상북도.구미시,
대한민국.경상북도.구미시.남자(내),210519
대한민국.경상북도.구미시.여자(내),197346
대한민국.경상북도.구미시.남자(외),3217
대한민국.경상북도.구미시.여자(외),2881
대한민국.경상북도.고령군,
대한민국.경상북도.고령군.남자(내),14368
대한민국.경상북도.고령군.여자(내),14056
대한민국.경상북도.고령군.남자(외),1531
대한민국.경상북도.고령군.여자(외),444
대한민국.경상북도.경주시,
대한민국.경상북도.경주시.남자(내),122727
대한민국.경상북도.경주시.여자(내),122533
대한민국.경상북도.경주시.남자(외),9611
대한민국.경상북도.경주시.여자(외),6231
